Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-01-16 07:36 (PDT),On Demand,Andy Speer,30,Strength,Upper Body,30 min Upper Body Strength,2022-01-10 10:23 (PDT),,,,,,,149,,,
2022-01-17 08:13 (PDT),On Demand,Olivia Amato,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-01-07 07:00 (PDT),,,,,,,12,,,
2022-01-20 07:06 (PDT),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2022-01-19 05:20 (PDT),,,,,,,100,,,
2022-02-04 17:05 (-08),On Demand,Robin Arzon,20,Cycling,Beginner,20 min Beginner Ride,2021-12-28 08:00 (-08),88,73,33%,79,14.03,4.68,96,94.00,,
2022-02-05 08:35 (-08),On Demand,Alex Toussaint,5,Cycling,Warm Up,5 min AT's Ride to Greatness: Warm Up,2022-02-03 12:00 (-08),42,139,43%,84,18.44,1.54,43,120.00,,
2022-02-05 08:42 (-08),On Demand,Matt Wilpers,20,Cycling,Beginner,20 min Beginner Ride,2021-12-29 08:00 (-08),106,88,33%,88,15.17,5.06,144,110.00,,
2022-02-05 09:04 (-08),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min AT's Ride to Greatness: Cool Down,2022-02-03 12:00 (-08),24,80,38%,72,14.62,1.22,33,107.00,,
2022-02-06 07:50 (PDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min David Bowie Full Body Stretch,2022-01-19 04:51 (PDT),,,,,,,29,,,
2022-02-06 08:14 (-08),On Demand,Tunde Oyeneyin,5,Cycling,Warm Up,5 min Warm Up Ride,2022-02-01 08:00 (-08),24,83,34%,87,14.86,1.23,31,101.00,,
2022-02-06 08:21 (-08),On Demand,Hannah Corbin,30,Cycling,Beginner,30 min Advanced Beginner Ride,2022-01-07 04:24 (-08),141,78,37%,74,14.48,7.24,180,103.00,,
2022-02-06 08:52 (-08),On Demand,Leanne Hainsby-Alldis,10,Cycling,Cool Down,10 min David Bowie Cool Down Ride,2022-01-19 16:00 (-08),56,93,38%,79,15.54,2.59,64,104.00,,
2022-02-07 07:09 (-08),On Demand,Hannah Corbin,5,Cycling,Warm Up,5 min Warm Up Ride,2022-01-18 13:45 (-08),22,75,32%,91,14.36,1.20,31,104.00,,
2022-02-07 07:15 (-08),On Demand,Alex Toussaint,20,Cycling,Theme,20 min AT's Ride to Greatness: Game 1,2022-02-03 15:27 (-08),174,145,42%,88,18.47,6.16,245,140.00,,
2022-02-07 07:37 (-08),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-02-06 23:00 (-08),22,74,36%,76,14.09,1.17,39,115.00,,
2022-02-07 20:25 (PDT),On Demand,Ben Alldis,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2022-02-02 04:00 (PDT),,,,,,,14,,,
2022-02-08 07:21 (-08),On Demand,Jenn Sherman,5,Cycling,Warm Up,5 min Warm Up Ride,2022-02-07 08:00 (-08),23,75,33%,81,13.99,1.17,27,97.00,,
2022-02-08 07:27 (-08),On Demand,Sam Yo,15,Cycling,Music,15 min 2000s Ride,2022-01-18 10:52 (-08),115,128,42%,82,17.67,4.42,143,122.00,,
2022-02-08 07:44 (-08),On Demand,Hannah Corbin,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-18 13:45 (-08),26,86,38%,74,15.19,1.26,35,110.00,,
2022-02-08 07:52 (-08),On Demand,Chase Tucker,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-02-05 10:40 (-08),,,,,,,58,,,
2022-02-08 20:45 (PDT),On Demand,Selena Samuela,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2021-06-11 07:00 (PDT),,,,,,,29,,,
2022-02-08 20:57 (PDT),On Demand,Selena Samuela,10,Stretching,Upper Body Stretch,10 min Upper Body Stretch,2021-04-07 07:00 (PDT),,,,,,,29,,,
2022-02-09 07:24 (-08),On Demand,Cody Rigsby,5,Cycling,Warm Up,5 min Warm Up Ride,2022-01-12 10:27 (-08),30,101,37%,87,16.11,1.34,32,105.00,,
2022-02-09 07:31 (-08),On Demand,Ben Alldis,15,Cycling,Music,15 min 2010s Ride,2022-01-17 06:32 (-08),128,142,43%,85,18.50,4.63,171,135.00,,
2022-02-09 07:47 (-08),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-26 08:00 (-08),23,76,33%,82,14.37,1.20,40,117.00,,
2022-02-09 21:10 (PDT),On Demand,Ben Alldis,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2022-02-09 04:28 (PDT),,,,,,,14,,,
2022-02-09 21:16 (PDT),On Demand,Selena Samuela,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2021-06-11 07:00 (PDT),,,,,,,14,,,
2022-02-10 07:18 (-08),On Demand,Emma Lovewell,5,Cycling,Warm Up,5 min Warm Up Ride,2022-01-12 08:00 (-08),27,91,33%,91,15.06,1.25,28,100.00,,
2022-02-10 07:24 (-08),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2022-02-09 23:25 (-08),254,141,44%,82,18.40,9.20,334,135.00,,
2022-02-10 07:55 (-08),On Demand,Cody Rigsby,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-17 08:00 (-08),31,103,42%,74,16.17,1.35,48,125.00,,
2022-02-11 07:26 (PDT),On Demand,Rad Lopez,30,Strength,Upper Body,30 min Upper Body Strength,2022-01-29 07:20 (PDT),,,,,,,173,,,
2022-02-11 20:35 (PDT),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Chest & Back,2021-08-24 07:00 (PDT),,,,,,,58,,,
2022-02-11 20:46 (PDT),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Glutes & Calves,2021-08-24 07:00 (PDT),,,,,,,58,,,
2022-02-12 08:00 (-08),On Demand,Ally Love,5,Cycling,Warm Up,5 min Warm Up Ride,2022-01-06 08:00 (-08),24,81,33%,84,14.46,1.20,24,95.00,,
2022-02-12 08:07 (-08),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride,2022-02-11 13:53 (-08),214,119,40%,85,17.19,8.60,290,,,
2022-02-12 08:39 (-08),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-06 08:00 (-08),15,49,23%,96,11.79,0.98,20,,,
2022-02-12 08:46 (-08),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-06 08:00 (-08),,,,,,,14,,,
2022-02-12 21:14 (PDT),On Demand,Jon Hosking,10,Stretching,Post-Run Stretch,10 min Post-Run Stretch,2022-02-09 23:00 (PDT),,,,,,,29,,,
2022-02-13 08:34 (-08),On Demand,Alex Toussaint,5,Cycling,Warm Up,5 min Warm Up Ride,2022-01-04 08:00 (-08),19,65,34%,75,13.37,1.12,23,93.00,,
2022-02-13 08:41 (-08),On Demand,Jenn Sherman,45,Cycling,Theme,45 min Football Pregame,2022-02-06 06:21 (-08),388,144,42%,87,18.37,13.78,488,133.00,,
2022-02-13 09:27 (-08),On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,2022-02-10 08:00 (-08),17,58,29%,83,12.86,1.07,38,114.00,,
2022-02-13 20:26 (PDT),On Demand,Hannah Corbin,15,Stretching,Upper Body Stretch,15 min Upper Body Stretch,2021-06-03 07:00 (PDT),,,,,,,43,,,
2022-02-13 20:42 (PDT),On Demand,Hannah Corbin,15,Stretching,Lower Body Stretch,15 min Lower Body Stretch,2021-06-03 07:00 (PDT),,,,,,,19,,,
2022-02-14 07:19 (-08),On Demand,Jess King,5,Cycling,Warm Up,5 min Warm Up Ride,2021-12-23 08:00 (-08),24,81,32%,94,14.52,1.21,29,101.00,,
2022-02-14 07:25 (-08),On Demand,Alex Toussaint,15,Cycling,Low Impact,15 min Low Impact Ride,2021-12-07 08:00 (-08),100,112,39%,85,16.63,4.16,115,113.00,,
2022-02-14 07:41 (-08),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2021-12-27 00:50 (-08),25,83,36%,78,14.69,1.22,31,104.00,,
2022-02-15 07:03 (-08),On Demand,Denis Morton,5,Cycling,Warm Up,5 min Warm Up Ride,2022-02-14 08:00 (-08),25,83,34%,86,14.77,1.23,24,92.00,,
2022-02-15 07:10 (-08),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2022-02-12 10:23 (-08),347,128,43%,80,17.77,13.33,424,124.00,,
2022-02-15 07:56 (-08),On Demand,Robin Arzon,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-17 08:00 (-08),24,79,32%,90,14.67,1.22,37,112.00,,
2022-02-16 07:23 (-08),On Demand,Ben Alldis,5,Cycling,Warm Up,5 min Warm Up Ride,2021-12-30 00:30 (-08),36,121,42%,80,17.49,1.45,32,103.00,,
2022-02-16 07:30 (-08),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-02-10 08:54 (-08),213,118,46%,60,14.97,7.49,264,120.00,,
2022-02-16 08:02 (-08),On Demand,Ally Love,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-13 08:00 (-08),29,95,42%,72,15.83,1.32,32,105.00,,
2022-02-17 08:13 (-08),On Demand,Hannah Frankson,5,Cycling,Warm Up,5 min Warm Up Ride,2021-12-22 22:00 (-08),22,74,29%,96,13.96,1.16,23,92.00,,
2022-02-17 08:20 (-08),On Demand,Jess King,10,Cycling,Climb,10 min Climb Ride,2022-02-16 14:35 (-08),94,156,51%,71,19.08,3.18,87,118.00,,
2022-02-17 08:30 (-08),On Demand,Jess King,5,Cycling,Cool Down,5 min Cool Down Ride,2022-02-17 08:00 (-08),32,105,37%,87,16.46,1.38,39,115.00,,
2022-02-17 20:08 (PDT),On Demand,Ben Alldis,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2021-10-13 22:00 (PDT),,,,,,,14,,,
2022-02-17 20:14 (PDT),On Demand,Jess Sims,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2021-02-03 07:00 (PDT),,,,,,,14,,,
2022-02-18 07:42 (-08),On Demand,Sam Yo,5,Cycling,Warm Up,5 min Queen Warm Up Ride,2021-12-08 13:50 (-08),28,92,35%,88,15.53,1.30,24,90.00,,
2022-02-18 07:50 (-08),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-02-14 04:25 (-08),275,153,45%,81,18.86,9.43,328,132.00,,
2022-02-18 08:22 (-08),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-11 08:00 (-08),21,69,31%,83,13.50,1.12,35,110.00,,
2022-02-19 09:05 (PDT),On Demand,Marcel Dinkins,10,Stretching,Post-Run Stretch,10 min Post-Run Stretch,2022-02-16 07:00 (PDT),,,,,,,29,,,
2022-02-19 20:49 (PDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2021-11-08 00:57 (PDT),,,,,,,29,,,
2022-02-20 09:59 (-08),On Demand,Olivia Amato,5,Cycling,Warm Up,5 min Warm Up Ride,2021-11-24 08:00 (-08),21,70,34%,79,13.91,1.16,23,93.00,,
2022-02-20 10:05 (-08),On Demand,Bradley Rose,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-02-19 03:55 (-08),204,113,42%,73,15.41,7.71,268,121.00,,
2022-02-20 10:36 (-08),On Demand,Jenn Sherman,5,Cycling,Cool Down,5 min Cool Down Ride,2022-01-10 08:00 (-08),20,66,35%,72,13.57,1.14,33,107.00,,
2022-02-20 10:43 (-08),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-10-18 07:00 (-08),,,,,,,14,,,
2022-02-21 07:59 (-08),On Demand,Matt Wilpers,30,Cycling,Scenic Ride,30 min Hawaii Ride,,198,110,38%,88,16.72,8.36,268,,,
2022-02-21 08:31 (-08),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-06 08:00 (-08),,,,,,,14,,,
2022-02-21 08:37 (-08),On Demand,Hannah Corbin,15,Stretching,Foam Rolling,15 min Foam Rolling: Lower Body,2021-08-24 06:00 (-08),,,,,,,86,,,
2022-02-22 18:41 (-08),On Demand,Bradley Rose,5,Cycling,Warm Up,5 min Warm Up Ride,2022-02-20 23:00 (-08),33,111,38%,89,16.90,1.40,31,100.00,,
2022-02-22 18:47 (-08),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-02-06 04:53 (-08),236,131,44%,76,17.40,8.71,280,124.00,,
